step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
237,0.95089,0.66667,,
238,1.55589,0.71429,,
239,0.90521,0.57143,,
240,2.8725,0.75,,
241,0.70744,0.8,,
242,1.60293,0.71429,,
243,2.83248,0.6,,
244,1.56801,0.625,,
245,1.02906,0.71429,,
246,1.92207,0.71429,,
247,2.03869,0.66667,,
248,1.76801,0.6,,
249,4.22571,0.42857,,
250,2.13392,0.57143,,
251,2.07289,0.4,,
252,0.36895,0.8,,
253,3.05137,0.6,,
254,3.75585,0.6,,
255,0.42619,0.8,,
256,0.55998,0.66667,,
257,3.05247,0.5,,
258,2.16492,0.75,,
259,0.6119,0.83333,,
260,0.55905,1.0,,
261,2.843,0.5,,
262,3.84047,0.28571,,
263,0.97319,0.6,,
264,1.07521,0.8,,
265,0.52536,0.75,,
266,0.31656,0.83333,,
267,1.81059,0.8,,
268,1.31831,0.55556,,
269,0.20321,1.0,,
270,0.31847,1.0,,
271,2.20191,0.57143,,
272,1.64798,0.71429,,
273,2.22847,0.8,,
274,2.1051,0.66667,,
275,0.85671,0.8,,
276,0.56607,0.8,,
277,1.40041,0.57143,,
278,2.12842,0.6,,
279,1.83182,0.57143,,
280,1.50005,0.66667,,
281,1.50329,0.6,,
282,0.41384,0.8,,
283,1.23022,0.71429,,
284,2.32124,0.8,,
285,0.99075,0.85714,,
286,1.14627,0.66667,,
287,1.43686,0.72727,,
288,0.59256,0.75,,
289,0.81007,0.75,,
290,1.03085,0.6,,
291,1.00567,0.66667,,
292,2.34088,0.5,,
293,0.33478,0.9,,
294,0.62262,0.8,,
295,1.1948,0.8,,
296,0.58409,0.83333,,
297,0.64042,0.8,,
298,0.11409,1.0,,
299,1.17293,0.5,,
300,0.49143,1.0,,
301,0.85847,0.77778,,
302,0.62816,0.8,,
303,1.9758,0.71429,,
304,2.23513,0.6,,
305,0.36874,1.0,,
306,0.86789,0.6,,
307,0.27221,1.0,,
308,0.51177,0.85714,,
309,1.00993,0.6,,
310,2.19704,0.75,,
311,0.41428,0.75,,
312,1.04825,0.8,,
313,1.49518,0.8,,
314,1.01642,0.71429,,
315,2.32145,0.625,,
316,1.53181,0.6,,
317,1.56185,0.66667,,
318,0.22277,1.0,,
319,1.17012,0.57143,,
320,2.73089,0.57143,,
321,3.67765,0.42857,,
322,1.40076,0.83333,,
323,2.71998,0.6,,
324,0.35594,0.85714,,
325,0.45378,0.75,,
326,0.94024,0.75,,
327,0.03696,1.0,,
328,1.77048,0.57143,,
329,0.90976,0.85714,,
330,0.81002,0.8,,
331,1.62285,0.7,,
332,0.54946,0.83333,,
333,0.6163,0.85714,,
334,1.12493,0.6,,
335,0.85158,0.66667,,
336,0.43458,0.83333,,
337,0.54701,0.85714,,
338,2.77795,0.66667,,
339,0.31194,1.0,,
340,1.83522,0.71429,,
341,0.57287,0.85714,,
342,0.98498,0.75,,
343,2.57219,0.6,,
344,1.16429,0.71429,,
345,0.42265,0.85714,,
346,1.77518,0.6,,
347,1.73743,0.6,,
348,2.16252,0.66667,,
349,0.93592,0.75,,
350,0.38129,0.875,,
351,1.27051,0.6,,
352,0.86857,0.75,,
353,0.63746,0.6,,
354,0.14977,1.0,,
355,0.43249,0.83333,,
356,0.15046,1.0,,
357,2.21505,0.625,,
358,0.25472,1.0,,
359,1.90886,0.75,,
360,1.19126,0.8,,
361,1.35221,0.5,,
362,1.66728,0.8,,
363,0.47144,0.85714,,
364,3.4713,0.5,,
365,2.15097,0.83333,,
366,0.65086,0.8,,
367,1.18744,0.8,,
368,0.28287,0.8,,
369,0.19415,1.0,,
370,1.52474,0.71429,,
371,0.15799,1.0,,
372,0.19914,0.75,,
373,0.11086,1.0,,
374,1.22995,0.8,,
375,0.12394,1.0,,
376,0.47616,1.0,,
377,2.48934,0.6,,
378,0.217,0.8,,
379,2.77938,0.6,,
380,1.27902,0.5,,
381,0.76291,0.85714,,
382,0.43772,0.83333,,
383,0.41968,1.0,,
384,1.69515,0.5,,
385,0.18803,1.0,,
386,1.00743,0.875,,
387,0.40962,0.85714,,
388,0.75832,0.8,,
389,2.45061,0.8,,
390,1.03011,0.8,,
391,0.23102,1.0,,
392,1.1667,0.83333,,
393,0.62414,0.85714,,
394,0.4175,0.85714,,
395,2.00724,0.57143,,
396,0.06978,1.0,,
397,1.10272,0.8,,
398,1.68574,0.85714,,
399,0.2902,0.85714,,
400,0.32611,0.8,,
401,1.56846,0.6,,
402,0.14675,1.0,,
403,1.01979,0.75,,
404,0.77546,0.85714,,
405,1.21765,0.71429,,
406,0.37906,0.85714,,
407,0.40536,0.8,,
408,0.4053,0.83333,,
409,0.5162,0.71429,,
410,0.58366,0.8,,
411,1.86162,0.6,,
412,0.7794,0.75,,
413,0.27761,0.8,,
414,0.88495,0.71429,,
415,0.30799,1.0,,
416,0.15445,1.0,,
417,1.76945,0.75,,
418,0.77457,0.8,,
419,1.15859,0.83333,,
420,0.1648,1.0,,
421,1.37889,0.75,,
422,2.02739,0.625,,
423,0.37097,0.83333,,
424,0.48683,0.83333,,
425,0.63993,0.6,,
426,0.70202,0.8,,
427,0.0592,1.0,,
428,0.30111,0.85714,,
429,0.72142,0.66667,,
430,0.07005,1.0,,
431,0.76252,0.8,,
432,0.09908,1.0,,
433,0.3042,0.8,,
434,0.69865,0.875,,
435,0.46716,0.8,,
436,0.59376,0.71429,,
437,0.81276,0.75,,
438,0.7252,0.75,,
439,1.12602,0.71429,,
440,0.13134,1.0,,
441,2.20732,0.57143,,
442,0.76403,0.8,,
443,1.13341,0.83333,,
444,0.84193,0.81818,,
445,0.58783,0.75,,
446,1.29978,0.85714,,
447,0.75064,0.75,,
448,0.53055,0.85714,,
449,0.19377,1.0,,
450,1.37246,0.66667,,
451,1.40701,0.71429,,
452,1.40895,0.66667,,
453,0.38186,0.8,,
454,1.64043,0.8,,
455,0.55345,0.88889,,
456,0.28711,0.83333,,
457,1.7742,0.8,,
458,0.40132,0.85714,,
459,0.6874,0.75,,
460,1.33935,0.71429,,
461,0.79041,0.83333,,
462,1.09669,0.83333,,
463,0.14655,1.0,,
464,0.15776,1.0,,
465,0.6795,0.83333,,
466,2.59431,0.57143,,
467,1.65707,0.8,,
468,0.28004,1.0,,
469,1.18778,0.875,,
470,0.05838,1.0,,
471,1.14844,0.6,,
472,0.64797,0.8,,
473,2.09603,0.66667,,
474,1.5804,0.71429,,
475,0.13566,1.0,,
476,0.08057,1.0,,
477,0.11621,1.0,,
478,1.59374,0.66667,,
479,0.63211,0.71429,,
480,0.89215,0.625,,
481,0.36364,0.83333,,
482,0.11843,1.0,,
483,0.32335,0.85714,,
484,0.57983,0.85714,,
485,1.01326,0.75,,
486,0.66835,0.75,,
487,0.10684,1.0,,
488,0.70056,0.71429,,
489,0.25569,1.0,,
490,2.04412,0.8,,
491,0.94818,0.85714,,
492,1.28674,0.57143,,
493,0.18253,0.85714,,
494,0.0806,1.0,,
495,0.63232,0.75,,
496,0.50889,0.83333,,
497,1.16762,0.8,,
498,0.94325,0.8,,
499,0.74912,0.85714,,
500,1.56779,0.75,,
501,0.47673,0.75,,
502,1.67142,0.625,,
503,0.54058,0.75,,
504,1.04515,0.72727,,
505,0.03829,1.0,,
506,0.11973,1.0,,
507,0.65103,0.8,,
508,0.63651,0.85714,,
509,1.61566,0.8,,
510,0.2666,0.9,,
511,0.47943,0.85714,,
512,0.05679,1.0,,
513,0.48514,0.8,,
514,0.257,1.0,,
515,0.44696,0.85714,,
516,0.2372,1.0,,
517,0.96842,0.71429,,
518,2.81491,0.5,,
519,0.22103,0.875,,
520,0.03209,1.0,,
521,0.46662,0.88889,,
522,0.20546,1.0,,
523,1.00216,0.8,,
524,0.42386,0.85714,,
525,0.04087,1.0,,
526,0.54204,0.75,,
527,1.97034,0.6,,
528,0.50984,0.8,,
529,0.99787,0.8,,
530,0.15086,0.875,,
531,0.71973,0.75,,
532,0.67157,0.90909,,
533,0.95759,0.75,,
534,0.61018,0.83333,,
535,0.01958,1.0,,
536,0.71292,0.6,,
537,1.45863,0.75,,
538,0.04808,1.0,,
539,0.59932,0.8,,
540,0.0483,1.0,,
541,0.11378,1.0,,
542,0.3384,0.8,,
543,0.26374,0.85714,,
544,0.15639,1.0,,
545,2.06223,0.8,,
546,0.09422,1.0,,
547,0.76947,0.83333,,
548,0.62544,0.8,,
549,1.91671,0.6,,
550,0.6822,0.8,,
551,0.34014,0.83333,,
552,0.0961,1.0,,
553,0.10095,1.0,,
554,0.02322,1.0,,
555,0.08837,1.0,,
556,0.05799,1.0,,
557,1.62231,0.85714,,
558,1.65082,0.7,,
559,0.00644,1.0,,
560,0.10584,1.0,,
561,1.45355,0.6,,
562,2.25714,0.71429,,
563,0.38106,0.85714,,
564,0.04186,1.0,,
565,0.95828,0.71429,,
566,0.23898,1.0,,
567,0.50787,0.8,,
568,1.02976,0.75,,
569,0.9524,0.5,,
570,0.61486,0.83333,,
571,1.44047,0.83333,,
572,1.17577,0.75,,
573,1.28623,0.71429,,
574,1.65973,0.75,,
575,0.74559,0.71429,,
576,0.3155,0.83333,,
577,1.651,0.6,,
578,1.66282,0.8,,
579,0.21354,0.9,,
580,0.27374,0.75,,
581,1.40945,0.66667,,
582,0.07147,1.0,,
583,0.912,0.6,,
584,0.04563,1.0,,
585,0.33983,0.88889,,
586,0.79802,0.875,,
587,0.17674,0.83333,,
588,1.34295,0.5,,
589,0.40947,0.71429,,
590,0.08463,1.0,,
591,1.02556,0.8,,
592,0.5321,1.0,,
593,0.85583,0.6,,
594,0.6952,0.8,,
595,0.14725,1.0,,
596,0.1248,1.0,,
597,0.03399,1.0,,
598,0.12125,1.0,,
599,0.62862,0.875,,
600,1.81639,0.8,,
601,0.78211,0.8,,
602,0.31754,0.8,,
603,0.93778,0.8,,
604,0.94304,0.85714,,
605,0.18059,1.0,,
606,1.35346,0.6,,
607,0.32866,1.0,,
608,1.4937,0.85714,,
609,0.93564,0.8,,
610,0.34963,1.0,,
611,2.21758,0.75,,
612,0.09242,1.0,,
613,0.80671,0.8,,
614,0.62539,0.85714,,
615,2.1489,0.77778,,
616,1.32447,0.71429,,
617,0.2621,0.875,,
618,0.46772,0.83333,,
619,1.42679,0.71429,,
620,0.6999,0.875,,
621,0.28101,0.85714,,
622,1.41903,0.83333,,
623,0.31445,0.83333,,
624,1.26067,0.8,,
625,2.43001,0.5,,
626,0.04335,1.0,,
627,0.23881,0.8,,
628,0.28862,0.9,,
